name,,,,,,,,,,,,,,,latitude,longitude
Tanglin Mall,https://www.starbucks.com/store-locator/store/5756,163 Tanglin Road,Singapore,SG,247933,US,,,,,,,,,1.304898,103.82375
Thomson Plaza,https://www.starbucks.com/store-locator/store/5757,301 Upper Thomson Road,Singapore,SG,574408,US,,,,,,,,,1.35471,103.83101
Changi T1 Transit Lounge East,https://www.starbucks.com/store-locator/store/5760,"80 Airport Boulevard, Terminal 1, Transit Lounge East Level 2,#021-022",Singapore,SG,819642,US,,,,,,,,,1.361605,103.991825
Vivo City 2 - 1 st Floor,https://www.starbucks.com/store-locator/store/5701,"1 Harbourfront Walk, #01-168/169/170",Singapore,SG,98585,US,,,,,,,,,1.263387,103.821049
Woodlands Civic Centre,https://www.starbucks.com/store-locator/store/5675,"900 South Woodlands Drive, #02-09",Singapore,SG,730900,US,,,,,,,,,1.435163,103.78655
313 somerset,https://www.starbucks.com/store-locator/store/20314,"313 Sommerset Road, #02-38/39 & 50",Singapore,SG,238895,US,,,,,,,,,1.300878,103.838516
