name,,,,,,,,,,,,,,,latitude,longitude
Bandar Utama 2,https://www.starbucks.com/store-locator/store/5118,"Lebuh Bandar Utama, Lot F352, 1st Floor",Petaling Jaya,MY,47800,US,0,,,,,,,"Wednesday : 9:30 AM to 10:00 PM, Thursday : 9:30 AM to 10:00 PM, Thursday : 9:30 AM to 10:00 PM, Friday : 9:30 AM to 10:00 PM, Saturday : 9:30 AM to 11:00 PM, Sunday : 9:30 AM to 10:00 PM, Monday : 9:30 AM to 10:00 PM",3.213748,101.639902
Bukit Indah,https://www.starbucks.com/store-locator/store/5121,"No. 8, Jalan Indah 15/2, Bukit Indah, Lot G08, Ground Floor",Johor Bahru,MY,81200,US,0,,,,,,,"Wednesday : 10:00 AM to 10:00 PM, Thursday : 10:00 AM to 10:00 PM, Thursday : 10:00 AM to 10:00 PM, Friday : 10:00 AM to 10:30 PM, Saturday : 10:00 AM to 10:30 PM, Sunday : 10:00 AM to 10:00 PM, Monday : 10:00 AM to 10:00 PM",1.481182,103.655745
Berjaya Times Square 1,https://www.starbucks.com/store-locator/store/5120,"Berjaya Times Square, No.1, Jalan Imbi, Lot No. G-09A, Ground Floor",Kuala Lumpur,MY,55100,US,03-21100221,,,,,,,"Wednesday : 7:30 AM to 1:00 AM, Thursday : 7:30 AM to 1:00 AM, Thursday : 7:30 AM to 1:00 AM, Friday : 7:30 AM to 1:00 AM, Saturday : 7:30 AM to 2:00 AM, Sunday : 7:30 AM to 1:00 AM, Monday : 7:30 AM to 1:00 AM",3.142642,101.710399
Sunway Medical Centre,https://www.starbucks.com/store-locator/store/5141,"No 5, Jalan Lagoon Selatan, Bandar Sunway, Lobby, Ground Floor",Petaling Jaya,MY,47500,US,0,,,,,,,"Wednesday : 8:00 AM to 10:00 PM, Thursday : 8:00 AM to 10:00 PM, Thursday : 8:00 AM to 10:00 PM, Friday : 8:00 AM to 10:00 PM, Saturday : 8:00 AM to 10:00 PM, Sunday : 8:00 AM to 10:00 PM, Monday : 8:00 AM to 10:00 PM",3.065637,101.601689
Miri Airport,https://www.starbucks.com/store-locator/store/5129,"Lot No GL14, Public Concourse, Ground Level",Miri,MY,98000,US,0,,,,,,,"Wednesday : 6:00 AM to 10:00 PM, Thursday : 6:00 AM to 10:00 PM, Thursday : 6:00 AM to 10:00 PM, Friday : 6:00 AM to 10:00 PM, Saturday : 6:00 AM to 10:00 PM, Sunday : 6:00 AM to 10:00 PM, Monday : 6:00 AM to 10:00 PM",4.331214,113.985114
Queensbay Mall,https://www.starbucks.com/store-locator/store/5140,"100, Persiaran Bayan Indah, GF-36, Ground Floor",Bayan Lepas,MY,11900,US,0,,,,,,,"Wednesday : 8:00 AM to 12:00 AM, Thursday : 8:00 AM to 12:00 AM, Thursday : 8:00 AM to 12:00 AM, Friday : 8:00 AM to 12:30 AM, Saturday : 8:00 AM to 12:30 AM, Sunday : 8:00 AM to 12:00 AM, Monday : 8:00 AM to 12:00 AM",5.334145,100.306647
