name,,,,,,,,,,,,,,,latitude,longitude
Tunjungan Plaza 4,https://www.starbucks.com/store-locator/store/3403,"Jl. Embong Malang No. 7-21, Ground Floor",Surabaya,ID,60261,US,031-531-3138,,,,,,,"Wednesday : 10:00 AM to 10:00 PM, Thursday : 10:00 AM to 10:00 PM, Thursday : 10:00 AM to 10:00 PM, Friday : 8:00 AM to 11:00 PM, Saturday : 8:00 AM to 12:00 AM, Sunday : 10:00 AM to 10:00 PM, Monday : 10:00 AM to 10:00 PM",-7.259622,112.735861
Chiwalk Bandung,https://www.starbucks.com/store-locator/store/3391,"JL Cihampelas No 160, Ground Floor",Bandung,ID,,US,022-206-1102,,,,,,,"Wednesday : 10:00 AM to 10:00 PM, Thursday : 10:00 AM to 10:00 PM, Thursday : 10:00 AM to 10:00 PM, Friday : 10:00 AM to 12:00 AM, Saturday : 10:00 AM to 12:00 AM, Sunday : 10:00 AM to 10:00 PM, Monday : 10:00 AM to 10:00 PM",-6.89415,107.60409
Tunjungan Plaza 3,https://www.starbucks.com/store-locator/store/3385,"Jl. Embong Malang No. 7-21, Level 1",Surabaya,ID,60261,US,031-545-9559,,,,,,,"Wednesday : 10:00 AM to 10:00 PM, Thursday : 10:00 AM to 10:00 PM, Thursday : 10:00 AM to 10:00 PM, Friday : 10:00 AM to 10:00 PM, Saturday : 10:00 AM to 10:00 PM, Sunday : 10:00 AM to 10:00 PM, Monday : 10:00 AM to 10:00 PM",-7.259622,112.735771
Bali Discovery Mall,https://www.starbucks.com/store-locator/store/3378,"JL Kartika Plaza, Ground Floor",Bali,ID,80361,US,0361-769-746,,,,,,,"Wednesday : 9:00 AM to 11:00 PM, Thursday : 9:00 AM to 11:00 PM, Thursday : 9:00 AM to 11:00 PM, Friday : 9:00 AM to 11:00 PM, Saturday : 9:00 AM to 11:00 PM, Sunday : 9:00 AM to 11:00 PM, Monday : 9:00 AM to 11:00 PM",-8.728416,115.16866
Cambridge City Square- Ground Floor,https://www.starbucks.com/store-locator/store/3362,"JL Zainul Arifin, Medan Baru, Ground Floor",Medan,ID,20152,US,061-457-7173,,,,,,,"Wednesday : 10:00 AM to 10:00 PM, Thursday : 10:00 AM to 10:00 PM, Thursday : 10:00 AM to 10:00 PM, Friday : 10:00 AM to 10:00 PM, Saturday : 10:00 AM to 11:00 PM, Sunday : 10:00 AM to 11:00 PM, Monday : 10:00 AM to 10:00 PM",3.58406,98.66799
Kinokuniya,https://www.starbucks.com/store-locator/store/3376,"JL Asia Afrika No 8, 4th Floor (next to Kinokuiya)",Jakarta,ID,10270,US,021-57900254,,,,,,,"Wednesday : 10:00 AM to 10:00 PM, Thursday : 10:00 AM to 10:00 PM, Thursday : 10:00 AM to 10:00 PM, Friday : 10:00 AM to 10:00 PM, Saturday : 10:00 AM to 10:00 PM, Sunday : 10:00 AM to 10:00 PM, Monday : 10:00 AM to 10:00 PM",-6.228177,106.798091
