name,,,,,,,,,latitude,longitude,,,
Time Square,https://www.starbucks.com/store-locator/store/5850,"Time Square Building, No. 246, Sukhumvit road,",Klong Toey,TH,10110,US,+668 4438 7439,"Wednesday : 7:00 AM to 10:00 PM, Thursday : 7:00 AM to 10:00 PM, Thursday : 7:00 AM to 10:00 PM, Friday : 7:00 AM to 10:00 PM, Saturday : 8:00 AM to 10:00 PM, Sunday : 8:00 AM to 10:00 PM, Monday : 7:00 AM to 10:00 PM",13.737903,100.558757,,,
Kata Center-Karon-phuket,https://www.starbucks.com/store-locator/store/5853,"Kata Center, No.4, Karon road,",Muang,TH,83100,US,+668 4438 7430,"Wednesday : 8:00 AM to 10:00 PM, Thursday : 8:00 AM to 10:00 PM, Thursday : 8:00 AM to 10:00 PM, Friday : 8:00 AM to 10:00 PM, Saturday : 8:00 AM to 10:00 PM, Sunday : 8:00 AM to 10:00 PM, Monday : 8:00 AM to 10:00 PM",7.826537,98.296795,,,
Chiangmai Tha Pae,https://www.starbucks.com/store-locator/store/5871,"418-420,422, Tha Pae Road",Muang,TH,50300,US,+668 4438 7388,"Wednesday : 7:00 AM to 10:00 PM, Thursday : 7:00 AM to 10:00 PM, Thursday : 7:00 AM to 10:00 PM, Friday : 7:00 AM to 10:00 PM, Saturday : 7:00 AM to 11:00 PM, Sunday : 7:00 AM to 12:00 AM, Monday : 7:00 AM to 10:00 PM",18.787689,98.993574,,,
Motorway Inbound,https://www.starbucks.com/store-locator/store/5875,"85/65, Moo 1",Bangpakong,TH,24130,US,+668 4438 7381,"Wednesday : 6:00 AM to 9:00 PM, Thursday : 6:00 AM to 9:00 PM, Thursday : 6:00 AM to 9:00 PM, Friday : 6:00 AM to 9:30 PM, Saturday : 6:00 AM to 9:30 PM, Sunday : 6:00 AM to 9:30 PM, Monday : 6:00 AM to 9:00 PM",13.538822,101.008542,,,
The Mall Ngamwongwan-GF,https://www.starbucks.com/store-locator/store/5883,"The Mall Ngamwongwan, No. 30/39-50, Moo 2, Ngamwongwan",Bangkhen,TH,11000,US,+668 4438 7428,"Wednesday : 10:30 AM to 10:00 PM, Thursday : 10:30 AM to 10:00 PM, Thursday : 10:30 AM to 10:00 PM, Friday : 10:30 AM to 10:00 PM, Saturday : 10:00 AM to 10:00 PM, Sunday : 10:00 AM to 10:00 PM, Monday : 10:30 AM to 10:00 PM",13.856466,100.542179,,,
ConcourseB-Airside-SAP,https://www.starbucks.com/store-locator/store/5884,"999, Passenger terminal, 4th floor, Suvarnabhumi airport, Moo1",Bangphi,TH,10540,US,+668 4438 7442,"Wednesday : 12:00 AM to 12:00 AM, Thursday : 12:00 AM to 12:00 AM, Thursday : 12:00 AM to 12:00 AM, Friday : 12:00 AM to 12:00 AM, Saturday : 12:00 AM to 12:00 AM, Sunday : 12:00 AM to 12:00 AM, Monday : 12:00 AM to 12:00 AM",13.69025,100.754785,,,
